service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25S-GLOBAUX-01-S,1,1,1,1,1,0,0,20250825,20251024
25S-H50S000S-81-S,1,1,1,1,1,0,0,20250825,20251024
25S-H50S000S-81-SV,0,0,0,0,1,0,0,20250825,20251024
25S-H54S000S-82-S,1,1,1,1,1,0,0,20250825,20251024
25S-H55S000S-82-S,1,1,1,1,1,0,0,20250825,20251024
25S-H55S000S-82-SV,0,0,0,0,1,0,0,20250825,20251024
25S-H56S000S-80-S,1,1,1,1,1,0,0,20250825,20251024
25S-H57S000S-82-S,1,1,1,1,1,0,0,20250825,20251024
25S-H58S000S-80-S,1,1,1,1,1,0,0,20250825,20251024
25S-H59S000S-81-S,1,1,1,1,1,0,0,20250825,20251024
25S-H59S000S-81-SV,0,0,0,0,1,0,0,20250825,20251024
25S-H60S000S-80-S,1,1,1,1,1,0,0,20250825,20251024
25S-H62S000S-80-S,1,1,1,1,1,0,0,20250825,20251024
25S-GLOBAUX-01-A,0,0,0,0,0,1,0,20250830,20251025
25S-H50S000A-81-A,0,0,0,0,0,1,0,20250830,20251025
25S-H54S000A-83-A,0,0,0,0,0,1,0,20250830,20251025
25S-H55S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-H56S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-H57S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-H58S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-H59S000A-81-A,0,0,0,0,0,1,0,20250830,20251025
25S-H60S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-H62S000A-80-A,0,0,0,0,0,1,0,20250830,20251025
25S-GLOBAUX-01-I,0,0,0,0,0,0,1,20250831,20251026
25S-H50S000I-81-I,0,0,0,0,0,0,1,20250831,20251026
25S-H54S000I-82-I,0,0,0,0,0,0,1,20250831,20251026
25S-H55S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-H56S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-H57S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-H58S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-H59S000I-81-I,0,0,0,0,0,0,1,20250831,20251026
25S-H60S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-H62S000I-80-I,0,0,0,0,0,0,1,20250831,20251026
25S-GLOBAUX-01-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H50S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H54S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H55S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H56S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H57S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H58S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H59S100F-81-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H60S100F-82-F1,1,0,0,0,0,0,0,20250901,20250901
25S-H62S100F-80-F1,1,0,0,0,0,0,0,20250901,20250901
25S-GLOBAUX-01-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H50S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H54S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H55S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H56S200F-81-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H57S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H58S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H59S200F-81-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H60S200F-81-F2,1,0,0,0,0,0,0,20251013,20251013
25S-H62S200F-80-F2,1,0,0,0,0,0,0,20251013,20251013
25N-GLOBAUX-02-S,1,1,1,1,1,0,0,20251027,20251231
25N-H50N000S-80-S,1,1,1,1,1,0,0,20251027,20251114
25N-H50N000S-80-SV,0,0,0,0,1,0,0,20251027,20251114
25N-H54N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H55N000S-80-S,1,1,1,1,1,0,0,20251027,20251107
25N-H55N000S-80-SV,0,0,0,0,1,0,0,20251027,20251107
25N-H56N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H57N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H58N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H59N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H59N000S-80-SV,0,0,0,0,1,0,0,20251027,20251219
25N-H60N000S-80-S,1,1,1,1,1,0,0,20251027,20251114
25N-H62N000S-80-S,1,1,1,1,1,0,0,20251027,20251219
25N-H62N000A-80-A,0,0,0,0,0,1,0,20251101,20251220
25N-GLOBAUX-01-I,0,0,0,0,0,0,1,20251102,20260104
25N-H50N000I-80-I,0,0,0,0,0,0,1,20251102,20251116
25N-H54N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H55N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H56N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H57N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H58N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H59N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H60N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-H62N000I-80-I,0,0,0,0,0,0,1,20251102,20251221
25N-GLOBAUX-01-A,0,0,0,0,0,1,0,20251108,20260103
25N-H50N000A-80-A,0,0,0,0,0,1,0,20251108,20251115
25N-H54N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H55N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H56N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H57N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H58N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H59N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H60N000A-80-A,0,0,0,0,0,1,0,20251108,20251220
25N-H55N000S-82-S,1,1,1,1,1,0,0,20251110,20251219
25N-H55N000S-82-SV,0,0,0,0,1,0,0,20251110,20251219
25N-H50N000S-90-S,1,1,1,1,1,0,0,20251117,20251219
25N-H50N000S-90-SV,0,0,0,0,1,0,0,20251117,20251219
25N-H60N000S-98-S,1,1,1,1,1,0,0,20251117,20251219
25N-H50N000A-90-A,0,0,0,0,0,1,0,20251122,20251220
25N-H50N000I-90-I,0,0,0,0,0,0,1,20251123,20251221
25N-H50NV10S-90-S,1,1,1,1,1,0,0,20251222,20251224
25N-H50NV10S-90-SV,0,0,0,0,1,0,0,20251222,20251224
