service_id,date,exception_type
25S-GLOBAUX-01-S,20250901,2
25S-GLOBAUX-01-S,20251013,2
25N-GLOBAUX-02-S,20251225,2
25N-GLOBAUX-02-S,20251226,2
25S-H50S000S-81-S,20250901,2
25S-H50S000S-81-S,20251013,2
25S-H54S000S-82-S,20250901,2
25S-H54S000S-82-S,20251013,2
25S-H55S000S-82-S,20250901,2
25S-H55S000S-82-S,20251013,2
25S-H56S000S-80-S,20250901,2
25S-H56S000S-80-S,20251013,2
25S-H57S000S-82-S,20250901,2
25S-H57S000S-82-S,20251013,2
25S-H58S000S-80-S,20250901,2
25S-H58S000S-80-S,20251013,2
25S-H59S000S-81-S,20250901,2
25S-H59S000S-81-S,20251013,2
25S-H60S000S-80-S,20250901,2
25S-H60S000S-80-S,20251013,2
25S-H62S000S-80-S,20250901,2
25S-H62S000S-80-S,20251013,2
